City,Country,Latitude,Longitude,avg_temperature,avg_humidity,avg_pressure,avg_wind_speed,kmeans_cluster,hierarchical_cluster,dbscan_cluster
Vancouver,Canada,49.24966,-123.119339,283.9361026122797,81.94219204252053,1017.6540856214365,2.441722896680106,0,1,0
Portland,United States,45.523449,-122.676208,284.99300934563223,74.67131497359692,1019.3773339274817,2.0349100886894758,0,1,0
San Francisco,United States,37.774929,-122.419418,288.39935123168624,75.88219602015737,1018.7401607013971,2.7307976541547485,3,0,1
Seattle,United States,47.606209,-122.332069,284.41050952898377,77.09153020794602,1020.9515500015541,2.111678479735373,0,1,0
Los Angeles,United States,34.052231,-118.243683,290.84575598388415,62.686407895613144,1016.7764013926221,1.2162682306911108,3,0,1
San Diego,United States,32.715328,-117.157257,290.2150089233604,67.75040365280051,1017.845435489809,1.748884852793513,3,0,1
Las Vegas,United States,36.174969,-115.137222,292.4246887146754,31.626058305530712,1015.9893596495332,2.4160560900595507,2,3,-1
Phoenix,United States,33.44838,-112.074043,295.49097407561027,37.14065402294171,1014.1880868057439,1.9001455426925251,2,3,-1
Albuquerque,United States,35.084492,-106.651138,285.6189518100576,44.92665716085522,1019.4990938108043,2.6941260522720007,2,3,-1
Denver,United States,39.739151,-104.984703,282.8977756036039,52.84878387068662,1018.9702448947104,2.387107733044546,2,3,-1
San Antonio,United States,29.42412,-98.493629,293.7855319057823,67.56394087685196,1018.4808408772972,3.0106686019372164,3,0,2
Dallas,United States,32.783058,-96.806671,292.37575499647625,64.25470171038785,1018.8398667982306,3.5985301801751235,3,0,2
Houston,United States,29.763281,-95.363274,294.2040921621077,74.01858476786471,1019.6034183859706,2.949004181898766,3,0,2
Kansas City,United States,39.099731,-94.578568,286.6686297509032,66.57609476720177,1017.8592025328779,3.408830049797027,0,1,1
Minneapolis,United States,44.979969,-93.26384,281.08616443986733,71.2442051687221,1017.5008395514182,3.3632861079589165,0,1,1
Saint Louis,United States,38.62727,-90.197891,286.6920612673367,70.55967596623829,1019.4708967851927,3.029650768865376,0,1,1
Chicago,United States,41.850029,-87.650047,283.4328704023813,74.05922295759798,1018.7639823264828,3.710036599639026,0,1,1
Nashville,United States,36.16589,-86.784439,288.56859782393997,68.17994423574528,1020.3012947698568,2.4131170583931416,3,0,1
Indianapolis,United States,39.768379,-86.158043,284.82371236914867,72.385632256429,1019.1666517627633,3.193065349114199,0,1,1
Atlanta,United States,33.749001,-84.387978,289.77374725470156,70.72457111131155,1020.6702205869296,2.225670922225374,3,0,1
Detroit,United States,42.331429,-83.045753,283.0451414621898,72.32170279318899,1019.0823921556654,3.150902398591582,0,1,1
Jacksonville,United States,30.33218,-81.655647,294.3332537264346,76.38640568581489,1021.2379398541606,2.8175432842787185,3,0,2
Charlotte,United States,35.227089,-80.843132,288.8976252062858,70.18325893311342,1020.3223983431005,2.3779702172997337,3,0,1
Miami,United States,25.774269,-80.193657,298.1718005607958,75.20243998188367,1020.1434488811864,3.2702756998091806,3,0,-1
Pittsburgh,United States,40.44062,-79.995888,284.0880560936081,70.26466790047469,1019.3751241292363,2.5020393397888503,0,1,1
Toronto,Canada,43.700111,-79.416298,282.0076234343643,76.2631652376678,1018.2149579524082,3.72217944099761,0,1,1
Philadelphia,United States,39.952339,-75.163788,285.3842870481076,67.91235976620736,1020.218891393285,2.624020202936045,0,1,1
New York,United States,40.714272,-74.005966,285.4055762822852,66.36388784169407,1017.3559872764309,3.1424057243379413,0,1,1
Montreal,Canada,45.508839,-73.587807,280.5873869520414,71.90321120147132,1016.4124918175663,3.750928916170527,0,1,1
Boston,United States,42.358429,-71.059769,283.7900926061709,77.29799165801563,1019.815072861917,3.3370116068208704,0,1,1
Beersheba,Israel,31.25181,34.791302,291.4234672327064,70.3538332596774,997.7279184191176,1.9685608963707344,1,2,3
Tel Aviv District,Israel,32.083328,34.799999,294.5057456437276,66.61332986763709,1013.7999578419183,2.6673101505638264,1,2,-1
Eilat,Israel,29.55805,34.948212,296.40094460192245,53.88343314255408,1008.8806929927298,3.3889023932114997,1,2,-1
Haifa,Israel,32.815559,34.98917,295.337214827248,80.0616316376855,1017.6459791001774,3.1982583749909366,1,2,4
Nahariyya,Israel,33.005859,35.09409,294.18601832621965,78.88933366849008,1016.2364592893362,2.9463966199691702,1,2,4
Jerusalem,Israel,31.769039,35.216331,293.2010546075338,68.56058198351892,1011.7794288162183,1.8532425749334815,1,2,3
